"","search","maxDepth","duration","odbaMean","bottomPcnt","bathy","diveRatio","shoreDist","slope","terrainRugg","rugosity"
"1525","0",-7.215242414,280.602044,0.127842963,0.328883321,-3.6533899,1,0.000896414,0.735741,0.0070578,0.670577
"1526","1",-7.286352806,282.2993148,0.155580847,0.777686862,-4.9811001,1,0.001207868,0.652387,0.0113801,0.755969
"1527","1",-6.681555319,319.26768,0.121791984,0.251368355,-9.0869904,0.735288035,0.002064639,0.361896,0.0097346,0.932208
"1528","1",-8.491206795,305.5087394,0.161718691,0.92991453,-11.1993999,0.758184088,0.002270671,0.625059,0.0132327,0.780174
"1529","1",-12.23621346,279.5475267,0.127358531,0.886761272,-12.7902002,0.956686625,0.003061092,0.0694526,0.039001,0.977261
"1530","1",-12.68710115,331.4498661,0.118588716,0.945671606,-16.6833992,0.760462601,0.004297041,0.551901,0.010014,0.832081
"1531","1",-12.5211757,375.4282609,0.125675788,0.954068803,-16.0884991,0.778268726,0.004986857,0.637598,0.182292,-0.770044
"1532","1",-11.33785642,314.9090083,0.163206773,0.937300676,-15.0741997,0.752136541,0.005159273,0.495423,0.019885,0.861679
"1533","1",-10.15211394,295.6063194,0.164641627,0.54936468,-13.2139997,0.768284711,0.004364817,0.930653,0.0231373,0.361577
"1534","1",-6.393153354,304.2232326,0.129968522,0.880661561,-10.6870003,0.598217758,0.002928819,-0.100216,0.0416173,0.991379
"1535","1",-5.066434455,184.9221702,0.161066601,0.260685385,-7.5974998,0.66685549,0.002192608,-0.158974,0.25,0.85038
"1536","0",-1.748354126,2.571013718,0.063322904,0.734375,-10.0228996,0.174435961,0.002236743,-0.735396,0.0859539,0.670181
"1537","0",-4.989003134,231.7064007,0.090067266,0.268180437,-0.882257,1,0.000635991,-0.454972,0,0.876003
"1538","1",-11.55250192,480.9368994,0.14046413,0.412587851,-1.09154,1,0.000749716,0.54956,0,0.672627
"1539","1",-11.43771306,239.9956411,0.162897384,0.853208702,-0.771266,1,0.000670042,0.97915,0,-0.0630365
"1540","1",-11.15225013,125.0427891,0.182710347,0.839823009,-0.559879,1,0.000310905,0.0385968,0,0.830655
"1541","1",-11.15383431,439.9836255,0.103955177,0.864348263,-1.12353,1,0.000390495,-0.688125,0.0824512,0.718027
"1542","1",-8.483376868,376.5669126,0.104417207,0.347260439,0,1,0.00029671,0,0,0
"1543","1",-6.504607337,295.0627551,0.118275174,0.084756742,-17.4442997,0.372878674,0.005799834,0.310896,0.0313804,0.946537
"1544","1",-12.56604857,559.5539064,0.141232712,0.666774536,-18.9545002,0.662958582,0.006345561,0.0342856,0.138707,0.968689
"1545","1",-15.58246886,401.3943947,0.148962081,0.257387033,-14.8465004,1,0.00455198,0.384446,0.028068,0.915758
"1546","1",-8.829501852,270.4062888,0.151506299,0.542150298,-16.3985996,0.538430236,0.003174949,-0.238153,0.0071494,0.970411
"1547","1",-7.463657743,320.0511934,0.12597416,0.590979098,-12.1864004,0.612457945,0.00192463,0.495621,0.0035186,0.868146
"1548","0",-5.424870358,52.16990379,0.120244759,0.161396066,-8.0760202,0.671725704,0.001980576,0.295219,0.0496056,0.907517
"1549","0",-2.01547346,4.878982518,0.066636471,0.591752577,-8.3212996,0.242206573,0.002120941,-0.0861616,0.0564,0.986681
"1550","0",-3.454150955,196.6079058,0.143062002,0.130679492,-8.9953899,0.383991244,0.00240924,-0.171304,0.008985,0.984882
"1551","1",-3.526177357,219.2021218,0.320868843,0.259155576,-10.0091,0.352297145,0.002263301,0.063545,0.0176736,0.994699
"1552","1",-3.696069967,167.9275364,0.289337036,0.247468999,-9.8857498,0.373878567,0.002454923,0.0027908,0.0143236,0.995899
